Item_ID,Assembly,RefDes,Category,Description,Manufacturer,MPN,Package,Qty_per_station,Qty_4,Spares_4,Procure_qty_4,Qty_10,Spares_10,Procure_qty_10,Qty_20,Spares_20,Procure_qty_20,Spare_policy,Variant,Status,China_source_policy,Incoming_control,Notes,Value,Line_class,Population,Temperature_C,BOM_disposition
U13,PCB-MAIN,U13,SIM switch,6-channel bidirectional 2 to 1 multiplexer,Texas Instruments,TS3A27518EPWR,TSSOP-24_PW,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_USIM_SI_SAMPLE,Authorized distributor or traceable tier-1 channel,Marking supply leakage Ron capacitance and 100 switch cycles,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: selected-card VDD minimum; CLK/DATA edge integrity; leakage and reset isolation,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
U14-U15,PCB-MAIN,U14;U15,ESD,Low-capacitance TVS array for each SIM connector,STMicroelectronics,ESDALC6V1-5P6,SOT666_1.6x1.6mm,2,8,2,10,20,5,25,40,10,50,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_SIM_ESD_SI_SAMPLE,Authorized distributor,Capacitance leakage ESD rating marking,Two identical five-line SIM ESD arrays; exact maps in PCB_MAIN_DUAL_SIM_PIN_AUTHORITY_REV_A.csv,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED_PENDING_VERIFICATION
U9,PCB-MAIN,U9,GNSS,Independent GNSS with TIMEPULSE,u-blox,MAX-M10S-00B,LCC-18_9.7x10.1mm,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_GNSS_RF_TIMING_SAMPLE,Authorized distributor or traceable module channel,Marking firmware satellite fix PPS test,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: active antenna and cable; SAW/coexistence; supervisor fault response; PPS and holdover,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
U10,PCB-MAIN,U10,LoRa,850-930 MHz 22 dBm SX1262 SPI module,Ebyte,E22-900M22S,SMD_20x14_22P_1.27mm,1,4,2,6,10,3,13,20,6,26,SCALE_CEIL_FROM_20_BASELINE,RU868_PILOT,SELECTED_PENDING_CASTELLATED_OPTION_RF_REGULATORY,Ebyte official store or authorized distributor,Marking antenna-interface option firmware conducted power sensitivity sleep current,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: supplier confirmation of castellated ANT option with no fitted module IPEX; RU868 conducted/radiated test; current; supply availability,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
U11,PCB-MAIN,U11,BLE,BLE commissioning diagnostics and signed OTA coprocessor,Raytac,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_ENCLOSURE_RF,Raytac authorized channel or traceable distributor,Module label firmware BLE 2M coded PHY pairing OTA current RF range and temperature test,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: 2.4 GHz enclosure range; SWD/DFU/reset firmware and evidence,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
U12,PCB-MAIN,U12,Storage,Industrial microSD 32 GB,Kingston,SDCIT2/32GB,microSD_card_8_contact,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_SAMPLE_ENDURANCE,Kingston authorized channel,CID capacity full write/read temperature and power-loss sample,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: authorized-channel procurement; CID/capacity; full write/read; temperature and power-loss sample,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
J-SD1,PCB-MAIN,J12,Connector,microSD push-push connector with detect,GCT,MEM2052-00-195-00-A,microSD push-push SMT 1.95 mm with detect,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,MECHANICAL_AUTHORITY_FROZEN_PENDING_PHYSICAL_TEST,Authorized GCT distributor,Mating detect coplanarity and cycle sample,Rev.A connector freeze; exact electrical map in PCB_MAIN_CONNECTOR_FIXTURE_PIN_AUTHORITY_REV_A.csv; blockers: card retention cycle and power-loss test; service-cover seal,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
J-TAMPER,PCB-MAIN,J13,Connector,Two-position normally-closed tamper loop,Molex,5040500291,Pico-Lock 1.50 mm 2-circuit right-angle SMT,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,MECHANICAL_AUTHORITY_FROZEN_PENDING_PHYSICAL_TEST,Authorized Molex distributor,Mating pull continuity cable-break and cover-open fault coverage,Rev.A connector freeze; exact electrical map in PCB_MAIN_CONNECTOR_FIXTURE_PIN_AUTHORITY_REV_A.csv; blockers: cable length and strain relief; pull and fault-coverage test,,ELECTRICAL_COMPONENT,FITTED,-40..105,CONTROLLED_PENDING_VERIFICATION
J-PWR-MAIN,PCB-MAIN,J_PWR,Connector,Power/control/I2C harness from PCB-PWR,Molex,430451202,12 positions,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,MECHANICAL_AUTHORITY_FROZEN_PENDING_HARNESS_SI,Authorized Molex distributor,Marking dimensions latch mate continuity,Mating Molex_430251200; terminal Molex_430300038 power; Molex_430300001 control/I2C; blockers: I2C harness capacitance and pull-up validation; mating harness bend and pull test,,ELECTRICAL_COMPONENT,FITTED,header -40..125; housing -40..105,CONTROLLED_PENDING_VERIFICATION
J-RF-CELL,PCB-MAIN,J8,RF connector,Cellular RF connector,Hirose,U.FL-R-SMT-1(60),U.FL SMT receptacle,1,4,2,6,10,4,14,20,8,28,SCALE_CEIL_FROM_20_BASELINE,COMMON,LAYOUT_ZONE_FROZEN_PENDING_RF_VALIDATION,Authorized Hirose distributor,Visual mate gauge continuity VNA and VSWR,Rev.A connector freeze; coax assembly and RF validation remain blocking: CAB.0243 MHF-I/U.FL-compatible mate and retention; 150 mm route and 6.8 mm minimum bend; bulkhead seal and numeric IP classification; installed cellular VNA/VSWR and coexistence,,ELECTRICAL_COMPONENT,FITTED,-40..90,CONTROLLED_PENDING_VERIFICATION
J-RF-GNSS,PCB-MAIN,J9,RF connector,GNSS RF connector,Hirose,U.FL-R-SMT-1(60),U.FL SMT receptacle,1,4,2,6,10,4,14,20,8,28,SCALE_CEIL_FROM_20_BASELINE,COMMON,LAYOUT_ZONE_FROZEN_PENDING_RF_VALIDATION,Authorized Hirose distributor,Visual mate gauge continuity receiver sensitivity and active-antenna current,Rev.A connector freeze; coax assembly and RF validation remain blocking: exact active antenna and cable; CAB.0243 MHF-I/U.FL-compatible mate and retention; 150 mm route and 6.8 mm minimum bend; bulkhead seal and numeric IP classification; VNA/receiver sensitivity,,ELECTRICAL_COMPONENT,FITTED,-40..90,CONTROLLED_PENDING_VERIFICATION
J-RF-LORA,PCB-MAIN,J10,RF connector,LoRa RF connector,Hirose,U.FL-R-SMT-1(60),U.FL SMT receptacle,1,4,2,6,10,4,14,20,8,28,SCALE_CEIL_FROM_20_BASELINE,RU868_PILOT,LAYOUT_ZONE_FROZEN_PENDING_RF_VALIDATION,Authorized Hirose distributor,Visual mate gauge continuity conducted power sensitivity and VSWR,Rev.A connector freeze; coax assembly and RF validation remain blocking: CAB.0243 MHF-I/U.FL-compatible mate and retention; 150 mm route and 6.8 mm minimum bend; bulkhead seal and numeric IP classification; 868 MHz installed conducted/radiated test,,ELECTRICAL_COMPONENT,FITTED,-40..90,CONTROLLED_PENDING_VERIFICATION
X1,PCB-MAIN,X1,Clock,32.768 kHz low drift oscillator,SiTime,SiT1552AI-JE-DCC-32.768D,CSP-4_1.5x0.8mm,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_LSE_BYPASS_REVIEW,Authorized distributor,Frequency and current sample test,Rev.A freeze source MAIN_COMPONENT_FREEZE_REV_A.csv; blockers: CubeMX LSE bypass wiring; holdover drift measurement; complete physical pins and no-external-bypass decision in PCB_MAIN_PASSIVE_SUPPORT_AUTHORITY_REV_A.csv; physical pins: 1=GND;2=LSE_IN;3=3V3_DIGITAL;4=GND,32.768 kHz full-swing LVCMOS,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
PWR-REV-CTL,PCB-PWR,U1,Protection,Reverse polarity and reverse current controller,Texas Instruments,LM74700QDBVRQ1,SOT-23-6,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_SCHEMATIC_SAMPLE,Authorized distributor,Marking reverse test and gate waveform,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; 3.2-65 V controller; external N-MOSFET; low-loss reverse protection; blockers: surge/fuse coordination; gate network review; bench reverse test,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED_PENDING_VERIFICATION
PWR-REV-FET,PCB-PWR,Q1,Protection,60 V low-Rds(on) N-MOSFET,Texas Instruments,CSD18540Q5B,VSON-CLIP 5x6 mm,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_TECHNICALLY_PROCUREMENT_CHECK,Authorized distributor,Marking Rds thermal and reverse fault test,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; 60 V; Rds(on) <=2.2 mOhm at VGS=10 V; blockers: authorized-channel stock; SOA/thermal calculation; gate transient review,,ELECTRICAL_COMPONENT,FITTED,-55..175,CONTROLLED
U-PWR1,PCB-PWR,U3,Power,3.8 V modem synchronous buck,Texas Instruments,LMR604403SRAKR,RAK-9,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_DESIGN_CALC_SAMPLE,Authorized distributor,Load step ripple efficiency thermal and EMI,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; 3-36 V input; 4 A; adjustable output set to 3.8 V; low-Iq synchronous buck; blockers: capacitor/feedback verification; 2.7 A+ BG95 burst test; EMI; thermal,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED_PENDING_VERIFICATION
U-PWR2,PCB-PWR,U4,Power,3.3 V digital synchronous buck,Texas Instruments,LMR604403SRAKR,RAK-9,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_DESIGN_CALC_SAMPLE,Authorized distributor,Load step ripple efficiency sleep current thermal and EMI,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; 3-36 V input; 4 A; output set to 3.3 V; low-Iq synchronous buck; blockers: capacitor verification; load-step; sleep-current; EMI; thermal,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED_PENDING_VERIFICATION
U-PWR3,PCB-PWR,U5,Power,1.8 V low-noise microphone LDO,Texas Instruments,TPS7A2018PDBVR,SOT-23-5,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_NOISE_SAMPLE,Authorized distributor,Noise PSRR dropout thermal and AAD sleep current,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; fixed 1.8 V; 300 mA; low-noise/high-PSRR LDO; blockers: input/output capacitor review; PDM noise test; enable sequencing,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED_PENDING_VERIFICATION
U-MON-01,PCB-PWR,U2,Monitor,Total battery current voltage and power monitor,Texas Instruments,INA226AIDGSR,VSSOP-10,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_REV_A_12PIN_I2C,Authorized distributor,Marking I2C ID calibration and reference-meter compare,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; 3.3 V I2C; address 0x40; 10 mOhm Kelvin shunt capture; Current_LSB 200 uA/bit; Power_LSB 5 mW/bit; blockers: Kelvin layout review; I2C harness capacitance/pull-up test; calibration against reference meter,,ELECTRICAL_COMPONENT,FITTED,-40..125,CONTROLLED
R-SHUNT-01,PCB-PWR,RSH1,Shunt,10 mOhm 4-terminal Kelvin current shunt,Vishay Dale,WSK2512R0100FEA,WSK2512 4-terminal 6.35x3.18 mm,1,4,2,6,10,5,15,20,10,30,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_KELVIN_LAYOUT_SAMPLE,Authorized current-sense resistor vendor,Resistance TCR marking and four-wire reference measurement,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; exact four-terminal land pattern controlled; blockers: Kelvin routing review; +70 C thermal; four-wire resistance and reference-meter calibration,10 mOhm 1% 1 W,ELECTRICAL_COMPONENT,FITTED,-65..170,CONTROLLED_PENDING_VERIFICATION
J-PWR-PWR,PCB-PWR,J2,Connector,Power/control/I2C harness to PCB-MAIN,Molex,430451202,12 positions,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_ELECTRICAL_PENDING_MECHANICS,Authorized Molex distributor,Marking dimensions latch mate continuity,Mating Molex_430251200; terminal Molex_430300038 power; Molex_430300001 control/I2C; blockers: right-angle orientation and service clearance; pin-current allocation; I2C harness capacitance and pull-up validation,,ELECTRICAL_COMPONENT,FITTED,header -40..125; housing -40..105,CONTROLLED_PENDING_VERIFICATION
PWR-TVS-01,PCB-PWR,D1,Protection,Protected-bus transient clamp candidate,Littelfuse,SMBJ18A,SMB_DO-214AA,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,CANDIDATE_PENDING_SURGE_PROFILE,Authorized distributor,Marking clamp pulse and thermal sample,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; 18 V standoff; 20.0-22.1 V breakdown; 29.2 V max clamp; 600 W class; blockers: measured/source transient envelope; fuse coordination; thermal pulse test,,ELECTRICAL_COMPONENT,FITTED,-65..150,BLOCKED_ENGINEERING_SELECTION
PWR-FUSE-01,PCB-PWR,F1,Protection,PCB input fuse candidate,Littelfuse,0451008.MRL,Nano2_451_6.1x2.69mm,1,4,2,6,10,5,15,20,10,30,SCALE_CEIL_FROM_20_BASELINE,COMMON,CANDIDATE_SELECTED_FOR_EVT_QUALIFICATION_NATIVE_VALUE_ECO_PENDING,Authorized distributor,Marking continuity and controlled fault clearing,Rev.A freeze source POWER_COMPONENT_FREEZE_REV_A.csv; 8 A nominal; 0.0077 Ohm nominal cold resistance; 20.23 A2s nominal melting I2t; standard 25% continuous derating plus temperature rerating required; blockers: signed native value still 0451005.MRL; repeat ERC/PDF/human hierarchy review after value-only ECO; +70 C derating; inrush; fault energy; 8.5 A connector ceiling; battery-side primary-fuse coordination,,ELECTRICAL_COMPONENT,FITTED,-55..125,BLOCKED_ENGINEERING_SELECTION
ASM-PWR,PCB-PWR,-,PCBA,Assembled protected power interface PCB,Contract manufacturer,TBD,4-layer PCBA; outer 2 oz target; inner 1 oz target; final stackup pending DFM,1,4,1,5,10,1,11,20,2,22,SCALE_CEIL_FROM_20_BASELINE,COMMON,RFQ_REQUIRED,Direct CM quotation,AOI functional high-current thermal,No MPPT function on this board; layer count frozen but copper weights and construction remain open,,PCBA_SERVICE,N/A,N/A,BLOCKED_SUPPLIER_RELEASE
PCB-PWR,PCB-PWR,-,Bare PCB,Power interface bare PCB,Qualified PCB fab,TBD,4-layer FR-4; outer 2 oz target; inner 1 oz target; final stackup pending DFM,1,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,COMMON,RFQ_REQUIRED,Two independent fab quotations,Copper thickness netlist high-current and Kelvin review,Layer count frozen; final copper weights by current and thermal calculation plus fabricator DFM,,BARE_PCB,N/A,N/A,BLOCKED_SUPPLIER_RELEASE
ASM-MIC,PCB-MIC,-,PCBA,Assembled identical microphone leaf PCB,Contract manufacturer,TBD,2-layer PCBA,4,16,2,18,40,4,44,80,8,88,SCALE_CEIL_FROM_20_BASELINE,COMMON,RFQ_REQUIRED,Direct CM quotation,AOI acoustic port inspection channel functional test,Same PCB revision all positions,,PCBA_SERVICE,N/A,N/A,BLOCKED_SUPPLIER_RELEASE
PCB-MIC,PCB-MIC,-,Bare PCB,Microphone leaf bare PCB,Qualified PCB fab,TBD,2-layer FR-4,4,16,4,20,40,10,50,80,20,100,SCALE_CEIL_FROM_20_BASELINE,COMMON,RFQ_REQUIRED,Two independent fab quotations,Outline hole position finish netlist,Panelization to be approved,,BARE_PCB,N/A,N/A,BLOCKED_SUPPLIER_RELEASE
MK1,PCB-MIC,MK1,Microphone,Digital bottom-port PDM MEMS microphone,TDK InvenSense,MMICT5838-00-012,LGA-CAV-5 3.5x2.65x0.98 mm,4,16,4,20,40,8,48,80,16,96,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_PENDING_SAMPLE,TDK authorized channel and same lot requested,Marking lot acoustic sensitivity noise phase and port inspection,Exact orderable T5838 MPN; do not mix alternate MPN within station,,ELECTRICAL_COMPONENT,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
C-MIC,PCB-MIC,PCB-MIC:C1 x4,Passive,100 nF 25 V X7R microphone VDD decoupling,TDK,CGA2B3X7R1E104K050BB,0402 1005 metric,4,16,40,56,40,40,80,80,40,120,FIXED_LOT_MIN,COMMON,SELECTED_PENDING_SAMPLE,Traceable passive vendor,Value package reel label capacitance sample,One C1 per PCB-MIC leaf; exact native schematic reference and automotive-grade MLCC,100 nF 25 V X7R,ELECTRICAL_COMPONENT,FITTED,-55..125,CONTROLLED_PENDING_VERIFICATION
J-MIC,PCB-MIC,PCB-MIC:J1 x4,Connector,6-position microphone leaf board header,Molex,5040500691,Pico-Lock 1.50 mm 6-circuit right-angle SMT,4,16,3,19,40,6,46,80,12,92,SCALE_CEIL_FROM_20_BASELINE,COMMON,MECHANICAL_AUTHORITY_FROZEN_PENDING_SI_AAD,Authorized Molex distributor,Mating pull test contact resistance continuity and temperature,Mating housing 5040510601; terminal 5040520098; pinout 1V8/GND/CLK/DATA/WAKE/AAD_CFG(THSEL); -40..105 C,,ELECTRICAL_COMPONENT,FITTED,-40..105,CONTROLLED_PENDING_VERIFICATION
BAT1,SYSTEM,BT1,Battery,12.8 V 40 Ah LiFePO4 battery with BMS,RELiON,RB40,197x166x173 mm IP66 M8 pack,1,4,1,5,10,1,11,20,1,21,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_EVT_CANDIDATE_PENDING_COLD_SYSTEM_SAMPLE,RELiON or authorized distributor with exact RB40 traceability and transport documents,Label serial lot polarity voltage dimensions mass capacity DCIR BMS thresholds and documents,EVT-20 baseline is 40 Ah and 512 Wh; 60 Ah is post-EVT only; discharge -20..60 C and charge -20..45 C do not close station -40..+70 C; charging remains inhibited below 0 C through MPPT-TEMP; cold enclosure and system qualification block release,,SYSTEM_ITEM,FITTED,-20..60 discharge; -20..45 charge,CONTROLLED_PENDING_VERIFICATION
PV1,SYSTEM,PV1,Solar panel,80 W 12 V monocrystalline outdoor solar panel,SLD Tech / Solarland,SLP080S-12M,1475x342x40 mm framed 36-cell panel,1,4,1,5,10,1,11,20,1,21,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_EVT_CANDIDATE_PENDING_IV_MECHANICAL_SAMPLE,SLD Tech or authorized distributor with exact model traceability,Label dimensions Voc Isc Vmp Imp Pmax insulation wet leakage and visual inspection,80 W baseline; Vmp 18.46 V Imp 4.33 A Voc 22.52 V Isc 4.56 A and -40..85 C; verify cold Voc bracket cable connector and transport sample before release,,SYSTEM_ITEM,FITTED,-40..85,CONTROLLED_PENDING_VERIFICATION
MPPT1,SYSTEM,U-MPPT,Controller,External SmartSolar 10 A LiFePO4 MPPT controller,Victron Energy,SCC075010060R,100x113x40 mm IP43 electronics IP22 terminals,1,4,1,5,10,1,11,20,1,21,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_EVT_CANDIDATE_PENDING_CONFIG_COLD_SAMPLE,Victron authorized distributor with exact article traceability,Article label firmware configuration export charge profile reverse current quiescent thermal and cutoff test,SmartSolar MPPT 75/10; 12/24 V 10 A 75 V and 145 W nominal PV at 12 V; pair with MPPT-TEMP in one VE.Smart network and set low-temperature cutoff to 0 C; -30..60 C controller range and exposed terminals require enclosure and cold-system qualification,,SYSTEM_ITEM,FITTED,-30..60,CONTROLLED_PENDING_VERIFICATION
MPPT-TEMP,SYSTEM,TS-BAT1,Sensor,Wireless battery voltage and temperature sensor for MPPT,Victron Energy,SBS050150200,Smart Battery Sense long range up to 10 m radio with 0.45 m leads and M10 eyelets,1,4,1,5,10,1,11,20,1,21,SCALE_CEIL_FROM_20_BASELINE,COMMON,SELECTED_EVT_CANDIDATE_PENDING_NETWORK_COLD_SAMPLE,Victron authorized distributor with exact article traceability,Article label 0.45 m lead M10 eyelets voltage temperature accuracy VE.Smart pairing cutoff and reconnect test,Required for SmartSolar low-temperature inhibit; attach to RB40 body and M8 terminals through an approved retention stack; official operating range is -10..60 C and 10 m denotes wireless range not lead length; prove eyelet retention actual battery temperature reception cutoff at 0 C resume above 0.5 C network retention and cold-system behavior before release,,SYSTEM_ITEM,FITTED,-10..60,CONTROLLED_PENDING_VERIFICATION
