Program_Procurement_ID,Procurement_ID,Assemblies,Item_IDs,Category,Manufacturer,MPN,Package,Value,Variant,Population,Qty_per_station,Production_lots_20,Bench_stations,Total_stations,Base_qty_2x20_plus_1,Spare_qty_two_evt20_lots,Procure_qty_2x20_plus_1,Spare_policy,Procurement_track,BOM_disposition,Status,China_source_policy,Incoming_control,Program_scope
PG-011,PR-011,PCB-PWR,PWR-FUSE-01,Protection,Littelfuse,0451008.MRL,Nano2_451_6.1x2.69mm,,COMMON,FITTED,1,2,1,41,41,20,61,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,CANDIDATE_SELECTED_FOR_EVT_QUALIFICATION_NATIVE_VALUE_ECO_APPLIED_REPEAT_EVIDENCE_PASS_PHYSICAL_QUALIFICATION_PENDING,Authorized distributor,Marking continuity and controlled fault clearing,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-012,PR-012,PCB-MAIN,J-SIM1 | J-SIM2,SIM,TE Connectivity,2336582-1,Nano-SIM 4FF connector with DET,,COMMON,FITTED,2,2,1,41,82,20,102,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,TECHNICALLY_SELECTED_PROCUREMENT_RISK,Approved connector vendor,Mating cycles card detect coplanarity and ESD,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-013,PR-013,HARNESS-PWR-MAIN,H-PWR-MAIN,Housing,Molex,43025-1200,Micro-Fit 3.0 12-circuit housing,,COMMON,FITTED,2,2,1,41,82,8,90,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_MECHANICS_I2C_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-014,PR-014,HARNESS-PWR-MAIN,T-PWR-MAIN-CTL,Terminal,Molex,43030-0001,Micro-Fit female crimp terminal 20-24 AWG class,,COMMON,FITTED,12,2,1,41,492,24,516,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_I2C_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-015,PR-015,HARNESS-PWR-MAIN,T-PWR-MAIN-PWR,Terminal,Molex,43030-0038,Micro-Fit female crimp terminal 18 AWG class,,COMMON,FITTED,12,2,1,41,492,24,516,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CURRENT_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-016,PR-016,PCB-PWR,J-PWR-IN,Connector,Molex,430450213,2 positions,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_MECHANICS,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-017,PR-017,PCB-MAIN | PCB-PWR,J-PWR-MAIN | J-PWR-PWR,Connector,Molex,430451202,12 positions,,COMMON,FITTED,2,2,1,41,82,20,102,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_HARNESS_SI | SELECTED_ELECTRICAL_PENDING_MECHANICS,Authorized Molex distributor,Marking dimensions latch mate continuity,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-018,PR-018,PCB-MAIN,J-TAMPER,Connector,Molex,5040500291,Pico-Lock 1.50 mm 2-circuit right-angle SMT,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_PHYSICAL_TEST,Authorized Molex distributor,Mating pull continuity cable-break and cover-open fault coverage,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-019,PR-019,PCB-MAIN | PCB-MIC,J-MIC | J-MIC-MAIN,Connector,Molex,5040500691,Pico-Lock 1.50 mm 6-circuit right-angle SMT,,COMMON,FITTED,8,2,1,41,328,48,376,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_SI_AAD,Authorized Molex distributor | Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample | Mating pull test contact resistance continuity and temperature,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-020,PR-020,HARNESS-MIC,H-MIC,Housing,Molex,5040510601,Pico-Lock 1.50 mm 6-circuit housing,,COMMON,FITTED,8,2,1,41,328,32,360,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_HARNESS_LENGTH_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-021,PR-021,HARNESS-MIC,T-MIC,Terminal,Molex,5040520098,Pico-Lock crimp terminal 28-24 AWG,,COMMON,FITTED,48,2,1,41,1968,96,2064,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CRIMP_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-022,PR-022,SYSTEM,ANT-GNSS,Antenna,Taoglas,AA.166.A.301111,IP67 magnetic 37.8x40.4x10 mm with 3 m RG174 SMA(M),,COMMON,FITTED,1,2,1,41,41,4,45,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED,CONTROLLED_EVT_PURCHASE_EXACT_MPN_VALIDATION_DURING_ASSEMBLY_EVT,Taoglas or established distributor; exact AA.166.A.301111 only; no substitution,Reconcile PO packing slip quantity and visible damage; verify connector cable route current at 3.3 V receiver sensitivity PPS mounting and coexistence during assembly EOL and EVT,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-023,PR-023,PCB-MAIN,MAIN-010-FL1,SAW_Filter,Abracon,ABSES5AF-L100KM,1109-5,1582.4 MHz wideband GNSS SAW,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-024,PR-024,PCB-MAIN,U8,Cellular,Quectel,BG95-M3,LGA-102_23.6x19.9mm,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_INCOMING_ID_AND_POST_ASSEMBLY_EVT,Quectel authorized channel or CM with traceability,IMEI label firmware RF conducted attach TLS,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-025,PR-025,PCB-MAIN,MAIN-010-FB1,Ferrite_Bead,Murata,BLM31KN601SN1L,1206,600 Ohm at 100 MHz,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-026,PR-026,SYSTEM,RF-PIGTAIL,RF cable,Taoglas,CAB.0243,1.13 mm micro-coax 150 mm MHF I/U.FL-compatible R/A to waterproof SMA(F) bulkhead,,COMMON,FITTED,3,2,1,41,123,12,135,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED,CONTROLLED_EVT_PURCHASE_EXACT_MPN_VALIDATION_DURING_ASSEMBLY_EVT,Taoglas or established distributor; exact CAB.0243 only; no substitution,Reconcile PO packing slip quantity and visible damage; verify every installed cable continuity polarity length and route then mate retention bend seal torque temperature and VNA performance during assembly EOL and EVT,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-027,PR-027,PCB-PWR,PWR-C-100N,Passive,TDK,CGA2B3X7R1E104K050BB,0402,100 nF 25 V X7R,COMMON,FITTED,4,2,1,41,164,80,244,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PENDING_DERATING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-028,PR-028,PCB-MIC,C-MIC,Passive,TDK,CGA2B3X7R1E104K050BB,0402 1005 metric,100 nF 25 V X7R,COMMON,FITTED,4,2,1,41,164,80,244,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE,Traceable passive vendor,Value package reel label capacitance sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-029,PR-029,PCB-PWR,PWR-C-LDO,Passive,TDK,CGA3E1X7R1A225K080AC,0603,2.2 uF 10 V X7R,COMMON,FITTED,2,2,1,41,82,80,162,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PENDING_DERATING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-030,PR-030,PCB-PWR,PWR-C-CIN-HF,Passive,TDK,CGA3E2X7R1H104K080AA,0603,100 nF 50 V X7R,COMMON,FITTED,3,2,1,41,123,80,203,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,CONTROLLED_CANDIDATE_PENDING_MULTIPLE_REVIEWS,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-031,PR-031,PCB-PWR,PWR-COUT-3V3 | PWR-COUT-3V8,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,COMMON,FITTED,8,2,1,41,328,160,488,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PENDING_DERATING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-032,PR-032,PCB-PWR,PWR-C-INPUT,Passive,TDK,CGA6P3X7R1H475K250AB,1210,4.7 uF 50 V X7R,COMMON,FITTED,3,2,1,41,123,80,203,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,CONTROLLED_CANDIDATE_PENDING_MULTIPLE_REVIEWS,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-033,PR-033,PCB-PWR,PWR-REV-FET,Protection,Texas Instruments,CSD18540Q5B,VSON-CLIP 5x6 mm,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED,SELECTED_TECHNICALLY_PROCUREMENT_CHECK,Authorized distributor,Marking Rds thermal and reverse fault test,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-034,PR-034,PCB-MAIN,U10,LoRa,Ebyte,E22-900M22S,SMD_20x14_22P_1.27mm,,RU868_PILOT,FITTED,1,2,1,41,41,12,53,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CASTELLATED_OPTION_RF_REGULATORY,Ebyte official store or authorized distributor,Marking antenna-interface option firmware conducted power sensitivity sleep current,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-035,PR-035,PCB-PWR,PWR-C-BULK,Passive,Panasonic Industry,EEH-ZK1V101XP,SMD can 6.3x7.7 mm,100 uF 35 V hybrid,COMMON,FITTED,1,2,1,41,41,80,121,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PACKAGE_REVIEW_PENDING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-036,PR-036,PCB-PWR,PWR-R-100K-01,Passive,Panasonic Industry,ERA-2AEB104X,0402,100 kOhm 0.1%,COMMON,FITTED,1,2,1,41,41,80,121,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-037,PR-037,PCB-PWR,PWR-R-35K7,Passive,Panasonic Industry,ERA-2AEB3572X,0402,35.7 kOhm 0.1%,COMMON,FITTED,1,2,1,41,41,80,121,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-038,PR-038,PCB-PWR,PWR-R-86K6,Passive,Panasonic Industry,ERA-2AEB8662X,0402,86.6 kOhm 0.1%,COMMON,FITTED,2,2,1,41,82,80,162,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-039,PR-039,PCB-MAIN,MAIN-010-R98,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-040,PR-040,PCB-MAIN,MAIN-010-R103 | MAIN-010-R39 | MAIN-010-R40 | MAIN-010-R42 | MAIN-010-R43 | MAIN-010-R50 | MAIN-010-R51 | MAIN-010-R52 | MAIN-010-R53 | MAIN-010-R54 | MAIN-010-R55 | MAIN-010-R73,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,COMMON,FITTED,12,2,1,41,492,0,492,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-041,PR-041,PCB-PWR,PWR-R-0R-DNP,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,LOCKED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-042,PR-042,PCB-PWR,PWR-R-0R,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,COMMON,FITTED,2,2,1,41,82,80,162,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_FITTED,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-043,PR-043,PCB-MIC,R-MIC,Passive,Panasonic Industry,ERJ-2GE0R00X,0402 1005 metric,0 ohm,COMMON,FITTED,4,2,1,41,164,80,244,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_POPULATED_BASELINE_PENDING_SI,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-044,PR-044,PCB-MAIN,MAIN-010-R60 | MAIN-010-R61,Resistor,Panasonic,ERJ-2GEJ104X,0402,100 kOhm 5% 0.1 W,COMMON,FITTED,2,2,1,41,82,0,82,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-045,PR-045,PCB-MAIN,MAIN-010-R59,Resistor,Panasonic,ERJ-2GEJ561X,0402,560 Ohm 5% 0.1 W,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-046,PR-046,PCB-MAIN,MAIN-010-R100 | MAIN-010-R102 | MAIN-010-R38 | MAIN-010-R41 | MAIN-010-R95,Resistor,Panasonic,ERJ-2RKF1001X,0402,1 kOhm 1%,COMMON,FITTED,5,2,1,41,205,0,205,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
