RefDes,MPN,Package,Pin,Pin_Name,Direction,RevA_Net,Disposition,Required_Network,Authority,Notes
U10,E22-900M22S,SMD_20x14_22P_1.27mm,12,GND,POWER,GND,GROUND_LOCKED,Direct low-impedance ground with adjacent stitching vias,Ebyte_E22-M_v1.2_2026-02-06,Digital-side ground
U10,E22-900M22S,SMD_20x14_22P_1.27mm,13,DIO1,OUTPUT,LORA_DIO1,FUNCTION_LOCKED,100 kOhm pull-down to GND; direct STM32 PC2 EXTI2 input; no capacitive load,Ebyte_E22-M_v1.2_2026-02-06,Primary radio interrupt
U10,E22-900M22S,SMD_20x14_22P_1.27mm,14,BUSY,OUTPUT,LORA_BUSY,FUNCTION_LOCKED,100 kOhm pull-down to GND; direct STM32 PD9 input; commands wait for LOW,Ebyte_E22-M_v1.2_2026-02-06,Radio busy status
U10,E22-900M22S,SMD_20x14_22P_1.27mm,15,NRST,INPUT,LORA_RESET_N,RESET_LOCKED,10 kOhm pull-up to 3V3_DIGITAL and 100 nF to GND; STM32 PD10 output initializes HIGH,Ebyte_E22-M_v1.2_2026-02-06,Active-LOW reset network follows the current Ebyte recommended topology
U10,E22-900M22S,SMD_20x14_22P_1.27mm,16,MISO,OUTPUT,LORA_MISO,FUNCTION_LOCKED,22 Ohm populated source-series position at U10; no pull-up or pull-down,Ebyte_E22-M_v1.2_2026-02-06,SPI1 MISO terminates at STM32 PA6
U10,E22-900M22S,SMD_20x14_22P_1.27mm,17,MOSI,INPUT,LORA_MOSI,FUNCTION_LOCKED,22 Ohm populated source-series position at STM32; no external pull,Ebyte_E22-M_v1.2_2026-02-06,SPI1 MOSI from STM32 PA7
U10,E22-900M22S,SMD_20x14_22P_1.27mm,18,SCK,INPUT,LORA_SCK,FUNCTION_LOCKED,22 Ohm populated source-series position at STM32; no external pull,Ebyte_E22-M_v1.2_2026-02-06,SPI1 SCK from STM32 PA5
U10,E22-900M22S,SMD_20x14_22P_1.27mm,19,NSS,INPUT,LORA_NSS,FUNCTION_LOCKED,10 kOhm pull-up to 3V3_DIGITAL plus 22 Ohm populated source-series position at STM32,Ebyte_E22-M_v1.2_2026-02-06,SPI1 NSS from STM32 PA4 remains inactive while the MCU is in reset
U10,E22-900M22S,SMD_20x14_22P_1.27mm,20,GND,POWER,GND,RF_GROUND_LOCKED,Direct low-inductance RF ground with via fence,Ebyte_E22-M_v1.2_2026-02-06,Ground pad adjacent to ANT
U10,E22-900M22S,SMD_20x14_22P_1.27mm,21,ANT,RF_BIDIR,LORA_RF_MODULE,RF_CONTACT_LOCKED,50 Ohm controlled-impedance route through the populated-series and DNP-shunt pi network to connector-side ultra-low-capacitance ESD,Ebyte_E22-M_v1.2_2026-02-06,Use the castellated ANT option; module-side IPEX-1 must not be fitted or used
U10,E22-900M22S,SMD_20x14_22P_1.27mm,22,GND,POWER,GND,RF_GROUND_LOCKED,Direct low-inductance RF ground with via fence,Ebyte_E22-M_v1.2_2026-02-06,Ground pad adjacent to ANT
J10,U.FL-R-SMT-1(60),U.FL_SMT,1,SIGNAL,RF_BIDIR,LORA_RF_ANT,RF_CONTACT_LOCKED,Connector-side ultra-low-capacitance ESD then 50 Ohm no-stub route through pi network with 0 Ohm series baseline and both shunts DNP,Hirose_U.FL-R-SMT-1_60,J10 is also the conducted-test port; no tee test point is allowed; cable and antenna are separate system BOM lines
J10,U.FL-R-SMT-1(60),U.FL_SMT,SHIELD,SHELL,GND,GND,SHIELD_GROUND_LOCKED,Both manufacturer ground terminals and shell group connect to uninterrupted RF ground with via fence,Hirose_U.FL-R-SMT-1_60,Exact placement and service orientation remain MAIN-AUTH-011
