Procurement_ID,Assemblies,Item_IDs,RefDes,Category,Manufacturer,MPN,Package,Value,Variant,Population,Qty_4,Spares_4,Procure_qty_4,Qty_10,Spares_10,Procure_qty_10,Qty_20,Spares_20,Procure_qty_20,Spare_policy,BOM_disposition,Status,China_source_policy,Incoming_control
PR-011,SYSTEM,HSG-VC,HSG1,Housing,TBD,TBD,Assembly,,VACUUM_CASTING_PRIMARY,N/A,4,0,4,10,0,10,20,0,20,NONE,CONDITIONAL_NOT_RELEASED,RFQ_REQUIRED,Qualified vacuum casting manufacturer,FAI dimensions material cure finish inserts leak fit acoustic and RF checks
PR-012,SYSTEM,MPPT1,U-MPPT,Controller,TBD,TBD,Sealed module,,COMMON,FITTED,4,1,5,10,1,11,20,1,21,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SELECTION,RFQ_REQUIRED,Manufacturer not marketplace relabel only,Charge profile reverse current quiescent thermal low-temp inhibit
PR-013,PCB-MAIN,PCB-MAIN,-,Bare PCB,Qualified PCB fab,TBD,6-layer FR-4 110x75x1.6 mm,,COMMON,N/A,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SUPPLIER_RELEASE,RFQ_REQUIRED,Two independent fab quotations,Coupon dimensions finish stackup impedance and netlist test
PR-014,PCB-MIC,PCB-MIC,-,Bare PCB,Qualified PCB fab,TBD,2-layer FR-4,,COMMON,N/A,16,4,20,40,10,50,80,20,100,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SUPPLIER_RELEASE,RFQ_REQUIRED,Two independent fab quotations,Outline hole position finish netlist
PR-015,PCB-PWR,PCB-PWR,-,Bare PCB,Qualified PCB fab,TBD,4-layer FR-4; outer 2 oz target; inner 1 oz target; final stackup pending DFM,,COMMON,N/A,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SUPPLIER_RELEASE,RFQ_REQUIRED,Two independent fab quotations,Copper thickness netlist high-current and Kelvin review
PR-016,SYSTEM,PV1,PV1,Solar panel,TBD,TBD,Panel,,COMMON,FITTED,4,1,5,10,1,11,20,1,21,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_SELECTION,RFQ_REQUIRED,Factory datasheet IEC evidence and sample,Voc Isc Pmax insulation wet leakage dimensions
PR-017,PCB-PWR,PWR-FUSE-01,F1,Protection,Littelfuse,0451005.MRL,Nano2_451_6.1x2.69mm,,COMMON,FITTED,4,2,6,10,5,15,20,10,30,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_ENGINEERING_SELECTION,CANDIDATE_PENDING_FUSE_COORDINATION,Authorized distributor,Marking continuity and controlled fault clearing
PR-018,PCB-MAIN,J-SIM1 | J-SIM2,J6 | J7,SIM,TE Connectivity,2336582-1,Nano-SIM 4FF connector with DET,,COMMON,FITTED,8,2,10,20,6,26,40,10,50,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,TECHNICALLY_SELECTED_PROCUREMENT_RISK,Approved connector vendor,Mating cycles card detect coplanarity and ESD
PR-019,HARNESS-PWR-MAIN,H-PWR-MAIN,H_PWR_MAIN:A/B,Housing,Molex,43025-1200,Micro-Fit 3.0 12-circuit housing,,COMMON,FITTED,8,1,9,20,2,22,40,4,44,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_MECHANICS_I2C_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-020,HARNESS-PWR-MAIN,T-PWR-MAIN-CTL,H_PWR_MAIN control contacts,Terminal,Molex,43030-0001,Micro-Fit female crimp terminal 20-24 AWG class,,COMMON,FITTED,48,3,51,120,6,126,240,12,252,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_I2C_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-021,HARNESS-PWR-MAIN,T-PWR-MAIN-PWR,H_PWR_MAIN power contacts,Terminal,Molex,43030-0038,Micro-Fit female crimp terminal 18 AWG class,,COMMON,FITTED,48,3,51,120,6,126,240,12,252,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CURRENT_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-022,PCB-PWR,J-PWR-IN,J1,Connector,Molex,430450213,2 positions,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_MECHANICS,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-023,PCB-MAIN | PCB-PWR,J-PWR-MAIN | J-PWR-PWR,J2 | J_PWR,Connector,Molex,430451202,12 positions,,COMMON,FITTED,8,2,10,20,6,26,40,10,50,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_HARNESS_SI | SELECTED_ELECTRICAL_PENDING_MECHANICS,Authorized Molex distributor,Marking dimensions latch mate continuity
PR-024,PCB-MAIN,J-TAMPER,J13,Connector,Molex,5040500291,Pico-Lock 1.50 mm 2-circuit right-angle SMT,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_PHYSICAL_TEST,Authorized Molex distributor,Mating pull continuity cable-break and cover-open fault coverage
PR-025,PCB-MAIN | PCB-MIC,J-MIC | J-MIC-MAIN,J_MIC1;J_MIC2;J_MIC3;J_MIC4 | PCB-MIC:J1 x4,Connector,Molex,5040500691,Pico-Lock 1.50 mm 6-circuit right-angle SMT,,COMMON,FITTED,32,6,38,80,12,92,160,24,184,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_SI_AAD,Authorized Molex distributor | Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample | Mating pull test contact resistance continuity and temperature
PR-026,HARNESS-MIC,H-MIC,H_MIC1:A/B;H_MIC2:A/B;H_MIC3:A/B;H_MIC4:A/B,Housing,Molex,5040510601,Pico-Lock 1.50 mm 6-circuit housing,,COMMON,FITTED,32,4,36,80,8,88,160,16,176,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_HARNESS_LENGTH_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-027,HARNESS-MIC,T-MIC,H_MIC1..H_MIC4 contacts,Terminal,Molex,5040520098,Pico-Lock crimp terminal 28-24 AWG,,COMMON,FITTED,192,48,240,480,48,528,960,48,1008,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CRIMP_PULL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-028,PCB-MAIN,MAIN-010-FL1,FL1,SAW_Filter,Abracon,ABSES5AF-L100KM,1109-5,1582.4 MHz wideband GNSS SAW,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-029,PCB-MAIN,U8,U8,Cellular,Quectel,BG95-M3,LGA-102_23.6x19.9mm,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_INCOMING_ID_AND_POST_ASSEMBLY_EVT,Quectel authorized channel or CM with traceability,IMEI label firmware RF conducted attach TLS
PR-030,PCB-MAIN,MAIN-010-FB1,FB1,Ferrite_Bead,Murata,BLM31KN601SN1L,1206,600 Ohm at 100 MHz,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-031,PCB-PWR,PWR-C-100N,C1;C2;C4;C6,Passive,TDK,CGA2B3X7R1E104K050BB,0402,100 nF 25 V X7R,COMMON,FITTED,16,40,56,40,40,80,80,40,120,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PENDING_DERATING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-032,PCB-MIC,C-MIC,PCB-MIC:C1 x4,Passive,TDK,CGA2B3X7R1E104K050BB,0402 1005 metric,100 nF 25 V X7R,COMMON,FITTED,16,40,56,40,40,80,80,40,120,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE,Traceable passive vendor,Value package reel label capacitance sample
PR-033,PCB-PWR,PWR-C-LDO,C7;C8,Passive,TDK,CGA3E1X7R1A225K080AC,0603,2.2 uF 10 V X7R,COMMON,FITTED,8,40,48,20,40,60,40,40,80,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PENDING_DERATING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-034,PCB-PWR,PWR-C-CIN-HF,C9,Passive,TDK,CGA3E2X7R1H104K080AA,0603,100 nF 50 V X7R,COMMON,FITTED,4,40,44,10,40,50,20,40,60,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PENDING_TRANSIENT,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-035,PCB-PWR,PWR-COUT-3V3 | PWR-COUT-3V8,C3;C14;C15;C16 | C5;C17;C18;C19,Passive,TDK,CGA6P3X7R1E226M250AB,1210,22 uF 25 V X7R,COMMON,FITTED,32,80,112,80,80,160,160,80,240,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PENDING_DERATING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-036,PCB-PWR,PWR-C-INPUT,C10;C11;C12,Passive,TDK,CGA6P3X7R1H475K250AB,1210,4.7 uF 50 V X7R,COMMON,FITTED,12,40,52,30,40,70,60,40,100,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,CONTROLLED_CANDIDATE_PENDING_MULTIPLE_REVIEWS,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-037,PCB-PWR,PWR-REV-FET,Q1,Protection,Texas Instruments,CSD18540Q5B,VSON-CLIP 5x6 mm,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED,SELECTED_TECHNICALLY_PROCUREMENT_CHECK,Authorized distributor,Marking Rds thermal and reverse fault test
PR-038,PCB-MAIN,U10,U10,LoRa,Ebyte,E22-900M22S,SMD_20x14_22P_1.27mm,,RU868_PILOT,FITTED,4,2,6,10,3,13,20,6,26,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CASTELLATED_OPTION_RF_REGULATORY,Ebyte official store or authorized distributor,Marking antenna-interface option firmware conducted power sensitivity sleep current
PR-039,PCB-PWR,PWR-C-BULK,C13,Passive,Panasonic Industry,EEH-ZK1V101XP,SMD can 6.3x7.7 mm,100 uF 35 V hybrid,COMMON,FITTED,4,40,44,10,40,50,20,40,60,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE_PACKAGE_REVIEW_PENDING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-040,PCB-PWR,PWR-R-100K-01,R1,Passive,Panasonic Industry,ERA-2AEB104X,0402,100 kOhm 0.1%,COMMON,FITTED,4,40,44,10,40,50,20,40,60,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-041,PCB-PWR,PWR-R-35K7,R2,Passive,Panasonic Industry,ERA-2AEB3572X,0402,35.7 kOhm 0.1%,COMMON,FITTED,4,40,44,10,40,50,20,40,60,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-042,PCB-PWR,PWR-R-86K6,R3;R7,Passive,Panasonic Industry,ERA-2AEB8662X,0402,86.6 kOhm 0.1%,COMMON,FITTED,8,40,48,20,40,60,40,40,80,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_CANDIDATE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-043,PCB-MAIN,MAIN-010-R98,R98,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-044,PCB-MAIN,MAIN-010-R103 | MAIN-010-R39 | MAIN-010-R40 | MAIN-010-R42 | MAIN-010-R43 | MAIN-010-R50 | MAIN-010-R51 | MAIN-010-R52 | MAIN-010-R53 | MAIN-010-R54 | MAIN-010-R55 | MAIN-010-R73,R103 | R39 | R40 | R42 | R43 | R50 | R51 | R52 | R53 | R54 | R55 | R73,Resistor,Panasonic,ERJ-2GE0R00X,0402,0 Ohm,COMMON,FITTED,48,0,48,120,0,120,240,0,240,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-045,PCB-PWR,PWR-R-0R-DNP,R5;R9,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,LOCKED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-046,PCB-PWR,PWR-R-0R,R4;R8,Passive,Panasonic Industry,ERJ-2GE0R00X,0402,0 ohm,COMMON,FITTED,8,40,48,20,40,60,40,40,80,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_FITTED,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-047,PCB-MIC,R-MIC,PCB-MIC:R1 x4,Passive,Panasonic Industry,ERJ-2GE0R00X,0402 1005 metric,0 ohm,COMMON,FITTED,16,40,56,40,40,80,80,40,120,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,SELECTED_POPULATED_BASELINE_PENDING_SI,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-048,PCB-MAIN,MAIN-010-R60 | MAIN-010-R61,R60 | R61,Resistor,Panasonic,ERJ-2GEJ104X,0402,100 kOhm 5% 0.1 W,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-049,PCB-MAIN,MAIN-010-R59,R59,Resistor,Panasonic,ERJ-2GEJ561X,0402,560 Ohm 5% 0.1 W,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-050,PCB-MAIN,MAIN-010-R100 | MAIN-010-R102 | MAIN-010-R38 | MAIN-010-R41 | MAIN-010-R95,R100 | R102 | R38 | R41 | R95,Resistor,Panasonic,ERJ-2RKF1001X,0402,1 kOhm 1%,COMMON,FITTED,20,0,20,50,0,50,100,0,100,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-051,PCB-MAIN,MAIN-010-R1 | MAIN-010-R28 | MAIN-010-R30 | MAIN-010-R31 | MAIN-010-R46 | MAIN-010-R48 | MAIN-010-R49 | MAIN-010-R67 | MAIN-010-R68 | MAIN-010-R7 | MAIN-010-R76 | MAIN-010-R78 | MAIN-010-R85 | MAIN-010-R86 | MAIN-010-R87 | MAIN-010-R88 | MAIN-010-R89 | MAIN-010-R90 | MAIN-010-R99,R1 | R28 | R30 | R31 | R46 | R48 | R49 | R67 | R68 | R7 | R76 | R78 | R85 | R86 | R87 | R88 | R89 | R90 | R99,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,COMMON,FITTED,76,0,76,190,0,190,380,0,380,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-052,PCB-PWR,PWR-R-10K-DNP,R15,Passive,Panasonic Industry,ERJ-2RKF1002X,0402,10 kOhm 1%,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,LOCKED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-053,PCB-PWR,PWR-R-10K,R10;R12,Passive,Panasonic Industry,ERJ-2RKF1002X,0402,10 kOhm 1%,COMMON,FITTED,8,40,48,20,40,60,40,40,80,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_FITTED,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-054,PCB-MAIN,MAIN-010-R4 | MAIN-010-R6,R4 | R6,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-055,PCB-MAIN,MAIN-010-R19 | MAIN-010-R2 | MAIN-010-R20 | MAIN-010-R21 | MAIN-010-R22 | MAIN-010-R23 | MAIN-010-R29 | MAIN-010-R3 | MAIN-010-R32 | MAIN-010-R33 | MAIN-010-R34 | MAIN-010-R35 | MAIN-010-R45 | MAIN-010-R47 | MAIN-010-R5 | MAIN-010-R63 | MAIN-010-R64 | MAIN-010-R65 | MAIN-010-R66 | MAIN-010-R77 | MAIN-010-R96,R19 | R2 | R20 | R21 | R22 | R23 | R29 | R3 | R32 | R33 | R34 | R35 | R45 | R47 | R5 | R63 | R64 | R65 | R66 | R77 | R96,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,COMMON,FITTED,84,0,84,210,0,210,420,0,420,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-056,PCB-PWR,PWR-R-100K,R6;R11,Passive,Panasonic Industry,ERJ-2RKF1003X,0402,100 kOhm 1%,COMMON,FITTED,8,40,48,20,40,60,40,40,80,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,LOCKED_FITTED,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-057,PCB-MAIN,MAIN-010-R97,R97,Resistor,Panasonic,ERJ-2RKF1004X,0402,1 MOhm 1%,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-058,PCB-MAIN,MAIN-010-R13 | MAIN-010-R14,R13 | R14,Resistor,Panasonic,ERJ-2RKF2201X,0402,2.2 kOhm 1%,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-059,PCB-MAIN,MAIN-010-R10 | MAIN-010-R101 | MAIN-010-R11 | MAIN-010-R12 | MAIN-010-R15 | MAIN-010-R16 | MAIN-010-R17 | MAIN-010-R18 | MAIN-010-R36 | MAIN-010-R37 | MAIN-010-R56 | MAIN-010-R57 | MAIN-010-R58 | MAIN-010-R69 | MAIN-010-R70 | MAIN-010-R71 | MAIN-010-R72 | MAIN-010-R74 | MAIN-010-R75 | MAIN-010-R79 | MAIN-010-R8 | MAIN-010-R80 | MAIN-010-R81 | MAIN-010-R82 | MAIN-010-R83 | MAIN-010-R84 | MAIN-010-R9 | MAIN-010-R91 | MAIN-010-R92,R10 | R101 | R11 | R12 | R15 | R16 | R17 | R18 | R36 | R37 | R56 | R57 | R58 | R69 | R70 | R71 | R72 | R74 | R75 | R79 | R8 | R80 | R81 | R82 | R83 | R84 | R9 | R91 | R92,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,COMMON,FITTED,116,0,116,290,0,290,580,0,580,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-060,PCB-MAIN,MAIN-010-R24 | MAIN-010-R26,R24 | R26,Resistor,Panasonic,ERJ-2RKF4701X,0402,4.7 kOhm 1%,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-061,PCB-PWR,PWR-R-4K7-DNP,R13;R14,Passive,Panasonic Industry,ERJ-2RKF4701X,0402,4.7 kOhm 1%,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,LOCKED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-062,PCB-MAIN,MAIN-010-R25 | MAIN-010-R27 | MAIN-010-R44,R25 | R27 | R44,Resistor,Panasonic,ERJ-2RKF4702X,0402,47 kOhm 1%,COMMON,FITTED,12,0,12,30,0,30,60,0,60,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-063,PCB-MAIN,MAIN-010-R93 | MAIN-010-R94,R93 | R94,Resistor,Panasonic,ERJ-2RKF5101X,0402,5.1 kOhm 1%,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-064,PCB-MAIN,MAIN-010-R62,R62,Resistor,Panasonic,ERJ-8GEYJ100V,1206,10 Ohm 5% 0.25 W,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-065,PCB-MAIN,U14-U15,U14;U15,ESD,STMicroelectronics,ESDALC6V1-5P6,SOT666_1.6x1.6mm,,COMMON,FITTED,8,2,10,20,5,25,40,10,50,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SIM_ESD_SI_SAMPLE,Authorized distributor,Capacitance leakage ESD rating marking
PR-066,PCB-MAIN,MAIN-010-C64,C64,Capacitor,Murata,GRM1555C1E470JA01D,0402,47 pF 25 V C0G,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-067,PCB-MAIN,MAIN-010-C69 | MAIN-010-C70 | MAIN-010-C79 | MAIN-010-C80,C69 | C70 | C79 | C80,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-068,PCB-MAIN,MAIN-010-C43 | MAIN-010-C47,C43 | C47,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
